# cfgfile = ./initcfg/SAGA/SAGA.1903.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,Azimuth,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,ping_id
0,S01,L01,M11,2.289306,0.0,38.04676,1.04275,0.0,False,30072.395125,-27.54882,1472.77479,14.73477,176.47,0.59,-1.39,30075.74594,-26.4059,1461.6486,14.32712,177.07,-0.5,-1.1,L0100001.bin
1,S01,L01,M13,3.12669,0.0,54.85889,0.13395,0.0,False,30092.395725,-21.77888,1412.51786,14.59835,188.24,0.41,-2.13,30096.58392,-22.04731,1401.40994,14.65409,190.61,-0.1,-2.14,L0100003.bin
2,S01,L01,M14,2.702555,0.0,48.53454,19.8168,0.0,False,30093.48579,-21.94969,1409.50741,14.67781,188.93,0.15,-1.7,30097.24985,-22.08049,1399.59566,14.55542,190.82,-0.39,-2.21,L0100003.bin
3,S01,L01,M14,2.68107,0.0,48.12857,20.07188,0.0,False,30102.396135,-22.95105,1387.02049,14.75363,192.39,0.1,-1.79,30106.13871,-23.66204,1378.09326,14.58144,192.92,0.21,-1.7,L0100004.bin
4,S01,L01,M11,2.218846,0.0,35.6671,1.38823,0.0,False,30103.4862,-23.27292,1384.36298,14.65869,192.62,-0.14,-1.5,30106.766555,-23.74371,1376.7234,14.68472,193.04,0.59,-1.81,L0100004.bin
5,S01,L01,M11,2.202846,0.0,35.08994,1.30865,0.0,False,30112.396525,-25.09916,1363.76558,14.6144,193.72,0.22,-1.75,30115.66088,-26.20018,1356.439,14.53286,193.85,-0.18,-1.4,L0100005.bin
6,S01,L01,M12,2.613667,0.0,45.83255,-21.30998,0.0,False,30113.4866,-25.54011,1361.45769,14.86801,193.75,0.53,-1.37,30117.161775,-26.21364,1353.22246,14.51063,193.84,0.2,-2.18,L0100005.bin
7,S01,L01,M12,2.597042,0.0,45.48551,-21.68833,0.0,False,30122.396935,-27.80037,1341.95426,14.53236,193.56,-0.05,-1.59,30126.055485,-28.37366,1334.35573,14.57646,192.88,0.24,-1.79,L0100006.bin
8,S01,L01,M13,3.048045,0.0,53.81111,-0.04867,0.0,False,30123.487,-27.83176,1339.57097,14.38456,193.47,-0.19,-2.21,30127.59655,-28.90555,1331.13935,14.71148,192.49,-0.05,-1.27,L0100006.bin
9,S01,L01,M13,3.028385,0.0,53.53655,-0.10487,0.0,False,30132.3973,-29.60865,1321.37111,14.56202,190.92,0.26,-1.75,30136.48719,-30.27581,1313.25539,14.62758,189.79,0.21,-1.46,L0100007.bin
10,S01,L01,M14,2.61632,0.0,46.84673,20.74646,0.0,False,30133.487575,-29.78951,1319.08729,14.62714,190.65,0.07,-1.68,30137.1654,-30.42685,1311.74973,14.53852,189.44,-0.31,-1.27,L0100007.bin
11,S01,L01,M14,2.599845,0.0,46.51012,20.96256,0.0,False,30142.397795,-30.78528,1301.36238,14.50378,188.17,-0.39,-1.52,30146.059145,-30.73513,1294.26645,14.46119,187.33,-0.29,-1.72,L0100008.bin
12,S01,L01,M11,2.154316,0.0,33.23351,1.03915,0.0,False,30143.487865,-30.75861,1299.49944,14.59382,187.88,0.3,-1.6,30146.70369,-30.80854,1293.08988,14.51354,187.3,-0.15,-1.54,L0100008.bin
13,S01,L01,M11,2.141576,0.0,32.72281,1.05284,0.0,False,30152.398095,-30.86338,1282.21528,14.4981,186.72,-0.0,-2.15,30155.60118,-30.91895,1275.92794,14.41239,186.66,-0.34,-1.44,L0100009.bin
14,S01,L01,M12,2.543607,0.0,44.30799,-22.78081,0.0,False,30153.48816,-30.66873,1280.22953,14.5501,186.66,0.4,-2.43,30157.093275,-30.94092,1273.23568,14.63357,186.46,0.29,-1.03,L0100009.bin
15,S01,L01,M12,2.528692,0.0,43.96366,-23.07245,0.0,False,30162.39915,-30.63829,1262.80358,14.45684,186.44,-0.65,-1.87,30165.98935,-30.21659,1256.13455,14.59067,186.19,0.47,-2.09,L0100010.bin
