depth,speed
0.0,1510.305
10.0,1510.308
20.0,1509.928
30.0,1509.915
40.0,1509.886
50.0,1509.665
60.0,1509.63
70.0,1508.66
80.0,1508.135
90.0,1507.921
100.0,1507.83
110.0,1507.828
120.0,1507.194
130.0,1506.555
140.0,1506.214
150.0,1504.84
160.0,1503.925
170.0,1502.718
180.0,1501.79
190.0,1500.91
200.0,1500.544
250.0,1499.674
300.0,1497.304
350.0,1496.075
400.0,1493.323
450.0,1490.982
500.0,1489.692
550.0,1487.734
600.0,1485.0
700.0,1481.932
800.0,1480.731
900.0,1480.655
1200.0,1481.348
1405.634,1482.868
