# cfgfile = ./initcfg/SAGA/SAGA.1905.meiyo_m4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,Azimuth,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,ping_id
0,S01,L01,M11,2.182626,0.0,34.30942,0.52544,0.0,False,57452.400375,-38.41638,1335.45853,12.98216,176.57,0.1,0.29,57455.64451,-37.31666,1322.36686,12.70372,176.09,-0.66,0.09,L0100001.bin
1,S01,L01,M13,3.039425,0.0,53.71389,-0.36795,0.0,False,57453.490405,-38.06188,1331.13176,13.02934,176.42,0.19,0.22,57457.591335,-36.6987,1314.92098,12.98382,176.01,0.74,0.14,L0100001.bin
2,S01,L01,M12,2.559197,0.0,44.68057,-22.71232,0.0,False,57462.400425,-35.35325,1295.55875,12.98727,175.75,0.0,0.56,57466.02113,-34.017,1280.88192,12.91698,175.54,0.26,0.2,L0100002.bin
3,S01,L01,M14,2.5901,0.0,46.31886,20.95516,0.0,False,57463.490455,-34.94515,1291.01216,12.87284,175.56,-0.59,0.53,57467.14206,-33.59248,1276.23207,12.93105,175.52,-0.02,0.2,L0100002.bin
4,S01,L01,M13,2.956785,0.0,52.55249,-0.17691,0.0,False,57472.400485,-31.70065,1254.79267,12.72796,175.01,-0.18,0.54,57476.418775,-30.25953,1238.03277,12.86838,174.98,-0.55,0.99,L0100003.bin
5,S01,L01,M11,2.119931,0.0,31.79387,1.07512,0.0,False,57473.490515,-31.12093,1250.38881,12.88284,175.1,0.28,0.15,57476.671955,-30.13189,1236.9886,12.86084,174.94,-0.56,0.97,L0100003.bin
6,S01,L01,M14,2.52266,0.0,44.86847,22.43821,0.0,False,57482.400605,-27.70545,1213.16282,12.67376,174.71,-0.57,0.41,57485.98477,-25.9517,1198.11562,12.81174,174.32,-0.18,0.53,L0100004.bin
7,S01,L01,M12,2.481367,0.0,42.87224,-23.88504,0.0,False,57483.49053,-27.16988,1208.73302,12.78472,174.48,-0.1,0.65,57487.033405,-25.56069,1193.92346,13.07295,174.48,0.48,0.7,L0100004.bin
8,S01,L01,M11,2.065786,0.0,29.32903,1.81577,0.0,False,57492.400575,-22.74103,1171.3292,12.85793,175.62,0.35,-0.52,57495.52787,-21.7037,1158.00003,13.13033,176.61,0.09,0.01,L0100005.bin
9,S01,L01,M13,2.86319,0.0,51.11812,0.14196,0.0,False,57493.490605,-22.11985,1166.57396,12.90588,175.97,0.22,-0.98,57497.4153,-21.27467,1150.06493,13.06805,177.25,-0.2,0.52,L0100005.bin
10,S01,L01,M12,2.413872,0.0,41.12824,-25.09551,0.0,False,57502.40062,-19.60883,1129.37449,12.79854,178.52,-0.57,0.08,57505.876,-18.82961,1115.32406,13.18473,179.33,0.17,-0.3,L0100006.bin
11,S01,L01,M14,2.450005,0.0,43.15042,24.31685,0.0,False,57503.49065,-19.45849,1124.97375,12.87897,178.72,-0.44,0.41,57507.00216,-18.68557,1110.7289,13.08927,179.85,-0.09,-0.47,L0100006.bin
