# cfgfile = ./initcfg/SAGA/SAGA.1905.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,2.182626,0.0,0.0,0.0,False,57452.400375,-38.72047,1335.82797,12.98208,176.57,0.1,0.29,57455.64451,-37.62075,1322.73629,12.70365,176.09,-0.66,0.09
1,S01,L01,M13,3.039425,0.0,0.0,0.0,False,57453.490405,-38.36597,1331.50119,13.02926,176.42,0.19,0.22,57457.591335,-37.00279,1315.29041,12.98374,176.01,0.74,0.14
2,S01,L01,M12,2.559197,0.0,0.0,0.0,False,57462.400425,-35.65734,1295.92818,12.98719,175.75,0.0,0.56,57466.02113,-34.32109,1281.25136,12.9169,175.54,0.26,0.2
3,S01,L01,M14,2.5901,0.0,0.0,0.0,False,57463.490455,-35.24924,1291.38159,12.87276,175.56,-0.59,0.53,57467.14206,-33.89657,1276.6015,12.93097,175.52,-0.02,0.2
4,S01,L01,M13,2.956785,0.0,0.0,0.0,False,57472.400485,-32.00474,1255.16211,12.72789,175.01,-0.18,0.54,57476.418775,-30.56362,1238.4022,12.86831,174.98,-0.55,0.99
5,S01,L01,M11,2.119931,0.0,0.0,0.0,False,57473.490515,-31.42502,1250.75824,12.88276,175.1,0.28,0.15,57476.671955,-30.43598,1237.35804,12.86076,174.94,-0.56,0.97
6,S01,L01,M14,2.52266,0.0,0.0,0.0,False,57482.400605,-28.00954,1213.53225,12.67369,174.71,-0.57,0.41,57485.98477,-26.25579,1198.48505,12.81167,174.32,-0.18,0.53
7,S01,L01,M12,2.481367,0.0,0.0,0.0,False,57483.49053,-27.47397,1209.10245,12.78465,174.48,-0.1,0.65,57487.033405,-25.86479,1194.2929,13.07287,174.48,0.48,0.7
8,S01,L01,M11,2.065786,0.0,0.0,0.0,False,57492.400575,-23.04512,1171.69863,12.85787,175.62,0.35,-0.52,57495.52787,-22.00779,1158.36946,13.13026,176.61,0.09,0.01
9,S01,L01,M13,2.86319,0.0,0.0,0.0,False,57493.490605,-22.42395,1166.9434,12.90581,175.97,0.22,-0.98,57497.4153,-21.57877,1150.43436,13.06798,177.25,-0.2,0.52
10,S01,L01,M12,2.413872,0.0,0.0,0.0,False,57502.40062,-19.91292,1129.74392,12.79848,178.52,-0.57,0.08,57505.876,-19.13371,1115.69349,13.18467,179.33,0.17,-0.3
11,S01,L01,M14,2.450005,0.0,0.0,0.0,False,57503.49065,-19.76259,1125.34318,12.8789,178.72,-0.44,0.41,57507.00216,-18.98967,1111.09833,13.08921,179.85,-0.09,-0.47
12,S01,L01,M13,2.783335,0.0,0.0,0.0,False,57512.400715,-18.46266,1089.68513,12.97088,181.25,0.39,-0.08,57516.245555,-18.48627,1074.57204,13.00448,182.18,-0.11,0.13
13,S01,L01,M11,2.011716,0.0,0.0,0.0,False,57513.49085,-18.43239,1085.28204,12.98274,181.43,0.05,0.04,57516.564075,-18.48313,1073.31987,12.98495,182.29,-0.13,0.08
14,S01,L01,M14,2.388965,0.0,0.0,0.0,False,57522.400765,-18.97812,1050.7209,13.02955,183.79,-0.26,0.42,57525.851235,-19.16762,1037.71968,12.94408,184.56,0.32,-0.44
15,S01,L01,M12,2.348962,0.0,0.0,0.0,False,57523.49079,-19.04274,1046.52803,12.8226,183.95,-0.38,0.2,57526.90126,-19.44956,1033.63967,12.89116,184.74,-0.31,-0.09
16,S01,L01,M11,1.970466,0.0,0.0,0.0,False,57532.400815,-20.64329,1013.3544,13.07495,184.35,-0.04,-0.03,57535.43279,-21.37757,1002.19672,12.863,183.7,-0.15,0.56
17,S01,L01,M13,2.702095,0.0,0.0,0.0,False,57533.49084,-20.96421,1009.36622,13.03886,184.24,0.06,0.2,57537.25444,-21.56713,995.69948,12.91608,183.43,0.14,0.24
18,S01,L01,M12,2.298982,0.0,0.0,0.0,False,57542.400925,-22.45336,977.07967,13.00064,181.71,-0.04,0.56,57545.761415,-22.61439,965.17016,12.97746,181.07,-0.07,0.34
19,S01,L01,M14,2.326945,0.0,0.0,0.0,False,57543.49095,-22.5895,973.22228,12.99299,181.53,0.03,0.52,57546.8794,-22.75515,961.13575,12.88581,180.78,-0.67,0.62
20,S01,L01,M13,2.63553,0.0,0.0,0.0,False,57552.40104,-22.72825,942.0636,12.94132,179.32,-0.31,0.62,57556.098075,-22.40615,929.35903,12.84586,178.34,-0.75,0.37
21,S01,L01,M11,1.931816,0.0,0.0,0.0,False,57553.490965,-22.86741,938.53831,13.17992,179.12,0.4,1.05,57556.48429,-22.30231,928.0262,12.74549,178.29,-0.91,0.16
22,S01,L01,M14,2.27944,0.0,0.0,0.0,False,57562.401,-21.77422,908.37235,12.94582,177.41,-0.29,0.93,57565.741945,-20.9051,897.43181,12.88881,177.55,-0.22,0.46
23,S01,L01,M12,2.247737,0.0,0.0,0.0,False,57563.49103,-21.51403,904.82375,12.91277,177.27,-0.21,0.82,57566.800275,-20.76936,894.13091,13.05414,177.67,0.32,0.63
24,S01,L01,M11,1.903191,0.0,0.0,0.0,False,57572.401125,-19.60344,876.0123,12.93532,178.86,-0.01,0.16,57575.365825,-19.29712,866.75737,13.15696,179.87,0.28,0.42
25,S01,L01,M13,2.568095,0.0,0.0,0.0,False,57573.491155,-19.48719,872.49647,12.94011,179.23,-0.32,0.43,57577.120755,-19.01625,861.09898,13.04787,180.31,-0.22,0.15
26,S01,L01,M12,2.207012,0.0,0.0,0.0,False,57582.40112,-18.57848,844.68048,12.88711,181.74,-0.26,0.17,57585.66964,-18.58127,834.64751,13.10243,182.51,-0.26,0.22
27,S01,L01,M14,2.232905,0.0,0.0,0.0,False,57583.49115,-18.49962,841.43019,13.02484,181.92,0.01,0.22,57586.78556,-18.73565,831.28092,13.04894,182.91,-0.23,0.39
28,S01,L01,M13,2.51261,0.0,0.0,0.0,False,57592.40124,-18.91014,814.35446,13.05629,184.33,-0.01,0.27,57595.975355,-19.27417,803.41004,12.8669,185.13,-0.86,0.12
29,S01,L01,M11,1.876436,0.0,0.0,0.0,False,57593.491165,-18.99901,811.17666,13.07457,184.55,0.27,0.26,57596.42911,-19.3094,802.06621,12.80744,185.24,-0.93,0.06
30,S01,L01,M14,2.19366,0.0,0.0,0.0,False,57602.40189,-20.4017,784.99252,13.14914,186.31,0.1,0.18,57605.657055,-20.93499,775.28658,12.83718,186.37,-0.51,-0.3
31,S01,L01,M12,2.168777,0.0,0.0,0.0,False,57603.4913,-20.54954,781.83857,13.22628,186.21,0.53,-0.05,57606.721585,-21.27796,772.37947,12.99186,186.37,0.01,0.01
32,S01,L01,M11,1.857011,0.0,0.0,0.0,False,57612.401305,-22.71557,756.2736,13.29699,185.45,0.27,0.63,57615.319825,-23.41001,747.81191,12.88688,185.36,-0.48,0.08
33,S01,L01,M13,2.455725,0.0,0.0,0.0,False,57613.491335,-22.94983,753.15006,13.20442,185.38,0.28,0.36,57617.008565,-23.66282,743.17132,12.94703,184.59,-0.04,0.25
34,S01,L01,M12,2.139002,0.0,0.0,0.0,False,57622.401355,-24.97953,727.99591,13.22192,183.67,0.15,1.22,57625.601865,-25.17402,719.16045,13.04602,182.63,0.24,0.32
35,S01,L01,M14,2.15356,0.0,0.0,0.0,False,57623.491385,-25.11243,724.77359,12.96547,183.46,-0.6,0.91,57626.70645,-25.14706,715.94942,13.02673,182.49,0.2,-0.04
36,S01,L01,M13,2.407555,0.0,0.0,0.0,False,57632.40145,-25.98394,699.86971,12.96344,181.51,-0.57,0.68,57635.87051,-26.30859,690.47217,13.06314,181.13,-0.05,0.68
37,S01,L01,M11,1.838821,0.0,0.0,0.0,False,57633.49148,-26.09952,697.07377,13.09084,181.37,-0.03,0.71,57636.39181,-26.33506,688.91211,12.92689,181.0,-0.61,0.67
38,S01,L01,M14,2.1215,0.0,0.0,0.0,False,57642.40155,-26.443,672.43805,12.93866,179.88,-0.14,0.55,57645.584555,-26.47579,663.65783,13.10376,179.03,-0.39,0.98
39,S01,L01,M12,2.107377,0.0,0.0,0.0,False,57643.491475,-26.45829,669.60254,13.16032,179.61,0.43,0.88,57646.66036,-26.48218,660.72359,12.90755,178.9,-0.47,0.81
40,S01,L01,M11,1.825631,0.0,0.0,0.0,False,57652.401565,-25.98361,645.0937,13.0555,177.73,0.02,0.47,57655.288705,-25.78332,637.11371,13.03999,177.57,0.06,0.6
41,S01,L01,M13,2.35599,0.0,0.0,0.0,False,57653.491695,-25.87452,642.10993,13.06927,177.59,0.29,0.46,57656.90919,-25.63411,632.58649,12.94515,177.43,-0.3,1.02
42,S01,L01,M12,2.080132,0.0,0.0,0.0,False,57662.401695,-24.73544,617.57163,13.01297,177.92,-0.48,0.13,57665.543335,-24.27235,609.02069,12.89974,178.17,-0.04,0.34
43,S01,L01,M14,2.08947,0.0,0.0,0.0,False,57663.49162,-24.66105,614.72965,13.01204,178.1,-0.05,0.17,57666.642595,-23.93468,605.88245,12.81869,178.43,-0.5,0.15
44,S01,L01,M13,2.31124,0.0,0.0,0.0,False,57672.401725,-23.5786,590.16344,12.89742,179.7,-0.69,0.44,57675.77447,-22.93542,580.99402,13.02907,180.29,-0.06,-0.1
45,S01,L01,M11,1.813971,0.0,0.0,0.0,False,57673.49165,-23.14691,587.37217,12.84404,179.9,-0.03,-0.43,57676.36713,-22.99255,579.38564,13.06845,180.44,-0.16,0.29
46,S01,L01,M14,2.063045,0.0,0.0,0.0,False,57682.401715,-22.65945,562.92722,13.11707,181.61,0.38,0.16,57685.526265,-22.6596,554.2936,13.04761,182.26,-0.09,0.28
