depth,speed
0.0,1516.722
10.0,1516.505
20.0,1516.006
30.0,1515.441
40.0,1514.468
50.0,1513.255
60.0,1510.956
70.0,1508.705
80.0,1506.682
90.0,1505.063
100.0,1503.803
110.0,1502.844
120.0,1501.655
130.0,1500.331
140.0,1499.024
150.0,1498.479
160.0,1497.927
170.0,1497.697
180.0,1497.475
190.0,1497.36
200.0,1497.379
250.0,1493.798
300.0,1490.255
350.0,1488.426
400.0,1487.452
450.0,1486.643
500.0,1485.703
550.0,1483.688
600.0,1481.718
700.0,1480.022
800.0,1479.462
900.0,1479.554
1200.0,1481.123
1405.634,1482.764
